"0 nothing
","1 someone
",
"1",,
"0","0.9735855",0.026414579
"0","0.9697949",0.030205073
"1","0.0034291423",0.9965708
"1","0.00021351791",0.99978644
"1","9.764048e-08",0.9999999
"1","8.561514e-09",1.0
"1","0.00097080396",0.99902916
"1","0.01648683",0.9835132
"1","0.0037456339",0.9962543
"1","0.17810096",0.821899
"1","0.0140741365",0.98592585
"1","0.0010643987",0.99893564
"1","0.047582626",0.9524173
"0","0.5395804",0.46041957
"0","0.5675928",0.4324072
"1","0.049503893",0.9504961
"1","0.40851256",0.5914874
"0","0.6599368",0.34006327
"1","0.30476013",0.69523984
"1","0.00042946075",0.99957055
"1","4.8480542e-05",0.9999515
"1","2.089817e-10",1.0
"1","5.8245007e-08",1.0
"1","5.376038e-11",1.0
"1","8.911146e-06",0.99999106
"0","0.59125704",0.408743
"1","9.880574e-09",1.0
"1","3.6330155e-06",0.9999964
"1","5.1670423e-07",0.9999995
"1","1.099009e-05",0.99998903
"1","9.13957e-06",0.9999908
"1","4.8181148e-05",0.99995184
"1","2.9680188e-05",0.9999703
"1","0.012620723",0.98737925
"1","5.0369226e-07",0.9999995
"1","1.7768646e-07",0.9999999
"1","8.2684135e-05",0.99991727
"1","7.55085e-05",0.99992454
"1","5.5010588e-08",1.0
"1","1.2166369e-08",1.0
"1","0.00020454435",0.9997955
"1","0.00020897652",0.9997911
"1","2.9799466e-08",1.0
"1","0.16832541",0.83167464
"0","0.6582579",0.34174207
"1","0.11563877",0.8843612
"1","0.19643113",0.80356884
"0","0.51870304",0.48129693
"1","0.039228946",0.960771
"1","0.2504305",0.74956954
"1","0.00040470925",0.99959534
"1","0.00016622127",0.9998337
"1","0.00086327456",0.99913675
"1","0.0009011544",0.9990989
"1","0.0026436693",0.9973564
"1","0.0048352624",0.99516475
"1","0.33314773",0.66685224
"0","0.78404146",0.2159585
"1","0.49422693",0.50577307
"1","0.25825125",0.74174875
"1","0.2047394",0.7952606
"1","5.645468e-06",0.9999944
"1","8.1051377e-07",0.99999917
"1","5.5523725e-07",0.9999994
"1","5.119535e-09",1.0
"1","2.494664e-07",0.99999976
"1","1.0496318e-05",0.9999895
"1","0.0032153316",0.9967847
"1","0.001099643",0.9989003
"1","0.0011695503",0.9988305
"1","0.0024278436",0.9975721
"1","0.0015908305",0.9984092
"1","0.006345085",0.99365497
"1","3.105976e-06",0.9999969
"1","1.9957367e-08",1.0
"1","1.0685376e-05",0.9999893
"1","5.2449563e-05",0.99994755
"1","2.8906393e-07",0.99999976
"1","2.895501e-07",0.99999976
"1","1.1961551e-05",0.9999881
"1","3.6497463e-06",0.9999963
"1","1.03258216e-07",0.9999999
"1","4.0891942e-07",0.99999964
"1","7.2845774e-07",0.9999993
"1","4.5546308e-10",1.0
"1","5.5073706e-11",1.0
"1","8.6312894e-11",1.0
"1","1.1722731e-06",0.9999988
"1","5.3833517e-08",1.0
"1","3.876256e-07",0.99999964
"1","1.0658888e-06",0.9999989
"1","2.6929419e-09",1.0
"1","1.4673316e-08",1.0
"1","1.0365501e-08",1.0
"1","1.8301293e-09",1.0
"1","0.0018147323",0.9981852
"1","0.0014827542",0.9985172
"1","0.00051015575",0.9994898
"1","0.021578997",0.97842103
"1","0.006614778",0.99338526
"1","0.021012064",0.97898793
"1","0.04741519",0.95258486
"1","0.040951908",0.95904815
"1","0.0016732524",0.9983267
"1","0.0064251157",0.9935749
"1","0.014917697",0.98508227
"1","6.6521184e-06",0.9999933
"1","0.00013739601",0.99986255
"1","0.000993803",0.9990062
"1","0.00013831697",0.9998617
"1","6.5044695e-08",0.9999999
"1","2.6527912e-08",1.0
"1","2.513076e-10",1.0
"1","8.587075e-09",1.0
"1","3.1186605e-11",1.0
"1","3.0804463e-11",1.0
"1","7.4138334e-11",1.0
"1","3.665566e-11",1.0
"1","1.7993894e-09",1.0
"1","3.0013138e-12",1.0
"1","5.3365215e-11",1.0
"1","6.2665604e-05",0.9999373
"1","2.569978e-06",0.9999974
"1","8.609319e-06",0.9999914
"1","8.0499034e-05",0.99991953
"1","0.0016732652",0.9983267
"1","9.55076e-07",0.99999905
"1","1.7595272e-05",0.99998236
"1","6.588229e-05",0.9999341
"1","1.2536856e-05",0.9999875
"1","6.85403e-06",0.9999932
"1","0.001707438",0.9982925
"1","0.00011736951",0.9998826
"1","3.8715672e-05",0.99996126
"1","7.3687026e-08",0.9999999
"1","9.259359e-07",0.99999905
"1","1.1186859e-10",1.0
"1","5.9359553e-09",1.0
"1","9.7248924e-11",1.0
"1","1.4769309e-09",1.0
"1","7.7257714e-11",1.0
"1","9.0501767e-10",1.0
"1","8.3947943e-10",1.0
"1","1.0386785e-10",1.0
"1","2.9175877e-11",1.0
"1","1.544713e-10",1.0
"1","2.3442592e-10",1.0
"1","4.885247e-11",1.0
"1","3.1112696e-11",1.0
"1","1.1837811e-13",1.0
"1","6.680339e-10",1.0
"1","6.350277e-06",0.9999937
"1","0.21212678",0.78787327
"0","0.5509838",0.44901618
"0","0.5044823",0.49551767
"0","0.6370363",0.3629637
"0","0.6999062",0.3000938
"0","0.5515845",0.44841552
"0","0.7701734",0.2298267
"0","0.7041006",0.2958994
"1","0.4680007",0.5319993
"0","0.66616327",0.33383664
"0","0.5261705",0.47382948
"0","0.6559308",0.34406918
"1","0.47730026",0.5226998
"0","0.7417084",0.25829163
"1","0.053808115",0.9461919
"1","0.19329381",0.8067062
"1","0.13527262",0.8647274
"1","0.1141094",0.8858906
"1","0.082127675",0.91787237
"1","0.15271024",0.84728974
"1","0.13814926",0.86185074
"1","0.10613099",0.893869
"1","0.035608064",0.96439195
"1","0.06508172",0.93491834
"1","0.16458136",0.83541864
"1","0.041310653",0.9586894
"1","0.16422729",0.8357727
"1","0.052892037",0.947108
"1","0.17506374",0.8249363
"0","0.9990921",0.0009079273
"0","0.999",0.0010000241
"0","0.99809986",0.001900106
"0","0.99880016",0.0011997729
"0","0.99819416",0.0018057945
"0","0.99804616",0.0019538016
"0","0.99875677",0.0012432918
"0","0.99878293",0.001217088
"0","0.9988034",0.0011965955
"0","0.99817264",0.0018273148
"0","0.99069035",0.009309718
"0","0.9936226",0.0063774213
"0","0.9913539",0.008646107
"0","0.9948106",0.0051893536
"0","0.9970592",0.0029408033
"0","0.9965256",0.0034744295
"1","1.6555687e-05",0.99998343
"1","0.00011103768",0.9998889
"1","0.00016721802",0.99983275
"1","0.0069888383",0.9930112
"1","0.025114132",0.9748858
"1","0.00016287489",0.99983704
"1","0.4123505",0.5876495
"1","0.20949943",0.7905006
"0","0.91473603",0.08526396
"0","0.9867258",0.013274237
"0","0.9647817",0.03521832
"0","0.99423826",0.005761692
"0","0.9872666",0.012733342
"0","0.98188734",0.018112727
"0","0.99303174",0.006968218
"0","0.9987986",0.0012013923
"0","0.9987832",0.001216811
"0","0.9979634",0.0020366353
"0","0.9975897",0.0024103469
"0","0.9955426",0.004457378
"0","0.99556243",0.0044375802
"0","0.98009837",0.01990158
"0","0.9977272",0.002272842
"0","0.99337363",0.0066263876
"0","0.99389786",0.0061021587
"0","0.987102",0.012898039
"0","0.9939446",0.0060554445
"0","0.94645303",0.053546954
"0","0.9926926",0.0073074047
"0","0.99834394",0.0016560464
"0","0.98752546",0.012474606
"0","0.9880195",0.011980471
"0","0.9825326",0.017467368
"0","0.9895828",0.010417288
"0","0.9895594",0.010440614
"0","0.988372",0.01162799
"0","0.9894609",0.0105390465
"0","0.9658021",0.0341979
"0","0.9866137",0.013386272
"0","0.97679466",0.023205295
"0","0.96433187",0.03566815
"0","0.98751104",0.012488934
"0","0.9911281",0.008871904
"0","0.9822954",0.01770466
"0","0.98357856",0.016421445
"0","0.98271537",0.017284585
"0","0.98532444",0.014675579
"0","0.9881302",0.011869815
"0","0.98850495",0.011495063
"0","0.9898623",0.010137654
"0","0.9916415",0.008358501
"0","0.9933496",0.0066503417
"0","0.99201655",0.007983447
"0","0.98770547",0.012294572
"0","0.9891132",0.010886752
"0","0.9896762",0.010323846
"0","0.98923177",0.01076821
"0","0.99096066",0.009039304
"0","0.9866542",0.013345788
"0","0.98579204",0.014208027
"0","0.9892736",0.010726405
"0","0.98619616",0.013803918
"0","0.9824132",0.017586773
"0","0.9854214",0.014578507
"0","0.9751769",0.024823125
"0","0.95980376",0.04019624
"0","0.9744384",0.0255616
"0","0.9665908",0.033409093
"0","0.96556884",0.034431204
"0","0.95111406",0.04888597
"0","0.9524096",0.047590308
"0","0.9750788",0.024921171
"0","0.96241736",0.037582655
"0","0.97260755",0.02739245
"0","0.94716",0.052840028
"0","0.85468096",0.14531909
"0","0.89953095",0.10046909
"0","0.7941256",0.20587438
"0","0.6706923",0.32930765
"1","0.29329842",0.7067015
"0","0.60106796",0.39893198
"0","0.84753627",0.15246373
"0","0.8239616",0.1760384
"0","0.94260496",0.057395097
"0","0.96064436",0.039355602
"0","0.94525546",0.054744568
"0","0.9747192",0.02528083
"0","0.93541783",0.064582154
"0","0.87775934",0.12224071
"1","0.001465168",0.9985348
"0","0.95956856",0.040431377
"0","0.96572644",0.034273498
"0","0.9674808",0.032519236
"0","0.9625062",0.037493806
"0","0.96875113",0.031248845
"0","0.9723724",0.027627561
"0","0.9684029",0.031597123
"0","0.9793258",0.02067417
"0","0.9767123",0.023287732
"0","0.98184264",0.018157372
"0","0.824069",0.17593099
"0","0.92368764",0.07631231
"0","0.9119109",0.08808908
"0","0.9037236",0.09627647
"0","0.9733892",0.02661076
"0","0.96872777",0.031272225
"0","0.99520785",0.004792171
"0","0.99463934",0.0053606387
"0","0.9955331",0.004466865
"0","0.9953644",0.004635531
"0","0.99489486",0.0051051443
"0","0.9963659",0.0036340696
"0","0.9965844",0.0034155806
"0","0.9964134",0.0035866194
"0","0.9963198",0.0036802115
"0","0.99721414",0.002785867
"0","0.9973912",0.002608733
"0","0.99646",0.003539983
"0","0.99733514",0.0026648883
"0","0.9969638",0.0030362185
"0","0.996376",0.0036240092
"0","0.9945738",0.0054262383
"0","0.9925902",0.007409787
"0","0.9961565",0.003843464
"0","0.99404585",0.0059540826
"0","0.9961224",0.0038775988
"0","0.9970066",0.002993377
"0","0.99712616",0.0028737972
"0","0.99702567",0.0029743412
"0","0.9968635",0.0031365901
"0","0.99661034",0.0033896412
