"0 nothing
","1 someone
"
0,[0.9735855  0.02641458]
0,[0.97980416 0.02019585]
0,[0.97095484 0.02904514]
0,[0.9637979  0.03620204]
0,[0.93639183 0.0636082 ]
0,[0.9290182  0.07098182]
0,[0.920956   0.07904395]
0,[0.96048105 0.03951894]
0,[0.9614502  0.03854981]
0,[0.9712762 0.0287238]
0,[0.9697949  0.03020507]
0,[0.97291553 0.02708444]
0,[0.9885388  0.01146118]
0,[0.96129864 0.03870138]
1,[0.30247074 0.6975293 ]
1,[0.05075111 0.94924885]
1,[0.00674731 0.9932527 ]
1,[0.00793105 0.992069  ]
1,[0.00766939 0.99233055]
1,[0.00256416 0.99743587]
1,[0.00342914 0.9965708 ]
1,[0.008682 0.991318]
1,[0.03255025 0.9674498 ]
1,[0.0464009 0.9535991]
1,[0.00179319 0.99820685]
1,[0.00724188 0.99275815]
1,[0.00016993 0.99983   ]
1,[0.00015892 0.9998411 ]
1,[0.00288555 0.9971144 ]
1,[0.00444339 0.99555665]
1,[0.00021352 0.99978644]
1,[0.00000077 0.9999993 ]
1,[0.0000032 0.9999968]
1,[0.00000008 0.9999999 ]
1,[0.00029084 0.9997092 ]
1,[0.00004213 0.9999579 ]
1,[0.00003707 0.9999629 ]
1,[0. 1.]
1,[0. 1.]
1,[0.00000024 0.99999976]
1,[0.0000001 0.9999999]
1,[0.00000003 1.        ]
1,[0. 1.]
1,[0.00000001 1.        ]
1,[0.00000001 1.        ]
1,[0.00001355 0.9999864 ]
1,[0.00000001 1.        ]
1,[0.00000733 0.9999927 ]
1,[0.00000511 0.9999949 ]
1,[0.00000002 1.        ]
1,[0.00000001 1.        ]
1,[0.00000002 1.        ]
1,[0.00000002 1.        ]
1,[0.00000102 0.9999989 ]
1,[0.00953234 0.9904676 ]
1,[0.00898351 0.9910165 ]
1,[0.0012472  0.99875283]
1,[0.01879373 0.98120624]
1,[0.01075589 0.9892441 ]
1,[0.03474335 0.96525663]
1,[0.0009708  0.99902916]
1,[0.00044096 0.999559  ]
1,[0.00021297 0.99978703]
1,[0.00059307 0.99940693]
1,[0.00186029 0.99813974]
1,[0.00201297 0.99798703]
1,[0.00423333 0.99576664]
1,[0.01188828 0.98811173]
1,[0.00428063 0.9957194 ]
1,[0.01225377 0.98774624]
1,[0.01648683 0.9835132 ]
1,[0.01002594 0.9899741 ]
1,[0.00524214 0.99475783]
1,[0.00434343 0.9956566 ]
1,[0.00544143 0.9945585 ]
1,[0.00235316 0.99764687]
1,[0.00169122 0.9983088 ]
1,[0.00097309 0.9990269 ]
1,[0.00051207 0.9994879 ]
1,[0.31741568 0.68258435]
1,[0.00374563 0.9962543 ]
1,[0.00002686 0.9999732 ]
1,[0.00003438 0.99996567]
1,[0.00027975 0.9997203 ]
1,[0.00064509 0.9993549 ]
1,[0.00033485 0.99966514]
1,[0.00004504 0.99995494]
1,[0.00018313 0.99981695]
1,[0.02215866 0.97784126]
1,[0.0667539  0.93324614]
1,[0.17810096 0.821899  ]
1,[0.39863887 0.60136104]
1,[0.14737964 0.85262036]
1,[0.01994384 0.9800561 ]
1,[0.0109078  0.98909223]
1,[0.00032705 0.999673  ]
1,[0.0001421 0.9998579]
1,[0.00030577 0.9996942 ]
1,[0.00319435 0.99680567]
1,[0.00766642 0.99233365]
1,[0.01407414 0.98592585]
1,[0.00909752 0.9909025 ]
1,[0.01600997 0.9839901 ]
1,[0.00829254 0.9917075 ]
1,[0.01410364 0.9858964 ]
1,[0.05783124 0.9421688 ]
1,[0.0030545  0.99694544]
1,[0.00134033 0.9986596 ]
1,[0.00189047 0.9981096 ]
1,[0.0020498  0.99795026]
1,[0.0010644  0.99893564]
1,[0.00155226 0.99844766]
1,[0.02036389 0.9796361 ]
0,[0.63533825 0.36466172]
1,[0.01215064 0.9878493 ]
1,[0.04591038 0.95408964]
1,[0.42609838 0.5739016 ]
1,[0.37221396 0.62778604]
1,[0.25980207 0.7401979 ]
1,[0.4344148 0.5655852]
1,[0.04758263 0.9524173 ]
1,[0.00056115 0.9994388 ]
1,[0.00010005 0.9999    ]
1,[0.00000028 0.99999976]
1,[0.044435 0.955565]
1,[0.01643776 0.9835623 ]
1,[0.00694641 0.9930536 ]
1,[0.19539428 0.8046058 ]
1,[0.36731157 0.6326885 ]
0,[0.5881917 0.4118083]
0,[0.5395804  0.46041957]
1,[0.37580115 0.62419885]
1,[0.289346   0.71065396]
1,[0.2755186 0.7244814]
1,[0.12318701 0.87681293]
1,[0.02476239 0.97523767]
1,[0.12014735 0.8798526 ]
1,[0.17149024 0.82850975]
1,[0.26179436 0.7382057 ]
0,[0.5894974 0.4105026]
0,[0.5675928 0.4324072]
1,[0.25534016 0.74465984]
1,[0.1328408  0.86715925]
1,[0.23704383 0.7629562 ]
1,[0.11051507 0.88948494]
1,[0.02333282 0.97666717]
1,[0.00544165 0.99455833]
1,[0.00199328 0.99800676]
1,[0.00130593 0.9986941 ]
1,[0.0015248  0.99847513]
1,[0.04950389 0.9504961 ]
1,[0.0627654  0.93723464]
1,[0.01946269 0.98053724]
1,[0.2392473  0.76075274]
1,[0.22291192 0.77708805]
1,[0.04442647 0.9555735 ]
1,[0.11199722 0.8880028 ]
1,[0.03418016 0.96581984]
1,[0.02483391 0.9751661 ]
1,[0.11034502 0.88965493]
1,[0.40851256 0.5914874 ]
1,[0.2955164  0.70448357]
1,[0.3042087  0.69579136]
